지점,지점명,시간(UTC),월평균 기온,일평균 기온의 월표준편차,월평균 일최고기온,월평균 일최저기온
58362,상하이,2010-05-31 0:00,20.8,2.3,24.7,17.7
58362,상하이,2010-06-30 0:00,23.8,2.6,27.2,21.4
58362,상하이,2010-07-31 0:00,28.9,2,32.5,26.2
58362,상하이,2010-08-31 0:00,30.7,2.3,34.8,27.5
58362,상하이,2010-09-30 0:00,26.2,3.6,29.3,24.1
58362,상하이,2010-10-31 0:00,19.2,2.9,22.2,16.3
58362,상하이,2010-11-30 0:00,14,1.9,18,10.1
58362,상하이,2010-12-31 0:00,7.9,4.4,12.5,4.2
58362,상하이,2011-01-31 0:00,1.5,1.5,4.4,-1
58362,상하이,2011-02-28 0:00,6,3.4,10.1,2.8
58362,상하이,2011-03-31 0:00,9.3,2.8,13.6,5.1
58362,상하이,2011-04-30 0:00,16,4.3,21.4,11.6
58362,상하이,2011-05-31 0:00,21.6,3.7,26.4,17.7
58362,상하이,2011-06-30 0:00,24.3,3.1,27.7,21.6
58362,상하이,2011-07-31 0:00,30,1.8,33.7,27.2
58362,상하이,2011-08-31 0:00,27.9,1.8,31.2,25.5
58362,상하이,2011-09-30 0:00,24.3,2.8,27.7,21.7
58362,상하이,2011-10-31 0:00,19.1,1.8,22,16.4
58362,상하이,2011-11-30 0:00,16.7,3.6,19.9,13.8
58362,상하이,2011-12-31 0:00,7.9,4.4,12.5,4.2
58362,상하이,2012-01-31 0:00,4.7,2.2,7.2,2.4
58362,상하이,2012-02-29 0:00,4.4,2.7,6.9,2.3
58362,상하이,2012-03-31 0:00,9.5,3.7,13.2,6.4
58362,상하이,2012-04-30 0:00,17.5,2.8,22.3,13.7
58362,상하이,2012-05-31 0:00,21.3,2.3,25.5,17.6
58362,상하이,2012-06-30 0:00,24.3,2,27.5,22.3
58362,상하이,2012-07-31 0:00,29.7,2,33.6,26.7
58362,상하이,2012-08-31 0:00,29,1.7,32.4,26.6
58362,상하이,2012-09-30 0:00,23.7,1.9,27.1,21.2
58362,상하이,2012-10-31 0:00,19.8,2.2,23.4,16.2
58362,상하이,2012-11-30 0:00,12.2,2.6,15.8,8.5
58362,상하이,2012-12-31 0:00,6.5,3.2,9.7,3.5
58362,상하이,2013-01-31 0:00,4.6,3.1,8.5,1.5
58362,상하이,2013-02-28 0:00,6.8,3.4,9.7,4.2
58362,상하이,2013-03-31 0:00,11,4.3,16.6,6.8
58362,상하이,2013-04-30 0:00,15.3,3.8,20.5,10.8
58362,상하이,2013-05-31 0:00,21.3,2.8,25.2,18
58362,상하이,2013-06-30 0:00,24.1,3.2,26.9,21.8
58362,상하이,2013-07-31 0:00,32,1.8,36.4,28
58362,상하이,2013-08-31 0:00,31,2.1,35.1,27.8
58362,상하이,2013-12-31 0:00,6.3,3.4,9.2,3.3
58362,상하이,2014-01-31 0:00,6.8,3,11.3,2.8
58362,상하이,2014-02-28 0:00,6.1,3.7,8.8,4.1
58362,상하이,2014-03-31 0:00,11.5,3.8,15.4,8.1
58362,상하이,2014-04-30 0:00,15.7,1.8,19.6,12.4
58362,상하이,2014-05-31 0:00,15.7,1.8,19.6,12.4
58362,상하이,2014-06-30 0:00,23.3,1.4,26.3,20.9
58362,상하이,2014-07-31 0:00,27.4,2.5,30.8,24.6
58362,상하이,2014-08-31 0:00,26.3,2.3,29.2,24.1
58362,상하이,2014-09-30 0:00,23.8,1.6,26.7,21.9
58362,상하이,2014-10-31 0:00,20.2,1.9,24,16.7
58362,상하이,2014-11-30 0:00,14.9,2,18.1,11.4
58362,상하이,2014-12-31 0:00,6.1,3.4,10.6,2.2
58362,상하이,2015-01-31 0:00,-99.9,-99.9,-99.9,-99.9
58362,상하이,2015-02-28 0:00,6.8,3.2,10.1,4
58362,상하이,2015-03-31 0:00,10.6,4,14.5,7.3
58362,상하이,2015-04-30 0:00,15.9,4.3,20.9,11.4
58362,상하이,2015-05-31 0:00,20.5,1.7,24.4,17.1
58362,상하이,2015-06-30 0:00,24.2,2.3,27.8,21.6
58362,상하이,2015-07-31 0:00,26.7,3.7,30,24
58362,상하이,2015-08-31 0:00,27.8,2.5,31.3,25
58362,상하이,2015-09-30 0:00,24.2,1.7,27.4,21.4
58362,상하이,2015-10-31 0:00,19.6,2,23.4,15.8
58362,상하이,2015-11-30 0:00,14,4.6,16.8,11.4
58362,상하이,2015-12-31 0:00,5.7,2.1,9.8,2.1
58362,상하이,2016-01-31 0:00,4.6,4.1,7.6,1.8
58362,상하이,2016-02-29 0:00,7,4.5,12,2.5
58362,상하이,2016-03-31 0:00,11.2,4.2,15.3,7.2
58362,상하이,2016-04-30 0:00,16.9,2.1,20.8,13.2
58362,상하이,2016-05-31 0:00,20.6,2.3,24.3,17.1
58362,상하이,2016-06-30 0:00,24.2,2.8,27.6,21.4
58362,상하이,2016-07-31 0:00,29.9,2.6,33.9,26.8
58362,상하이,2016-08-31 0:00,29.5,1.7,33,26.4
58362,상하이,2016-09-30 0:00,24.9,1.7,28.1,21.8
58362,상하이,2016-10-31 0:00,20.8,2.8,23.1,19
58362,상하이,2016-11-30 0:00,13.6,4,17.1,10.3
58362,상하이,2016-12-31 0:00,7.8,2.8,11.1,4.6
58362,상하이,2017-01-31 0:00,6.8,2.9,10.1,4
58362,상하이,2017-02-28 0:00,6.8,2.9,11.3,2.8
58362,상하이,2017-03-31 0:00,10.3,2.3,14,6.6
58362,상하이,2017-04-30 0:00,17.1,3.4,22,12.7
58362,상하이,2017-05-31 0:00,21.9,2.4,26.5,17.9
58362,상하이,2017-06-30 0:00,24,1.5,27.4,21.2
58362,상하이,2017-07-31 0:00,31.9,1.9,36.1,28.2
58362,상하이,2017-08-31 0:00,29.4,2,33.6,26.5
58362,상하이,2017-09-30 0:00,24.6,2.2,27.7,22.1
58362,상하이,2017-10-31 0:00,19.3,3.4,22.4,16.5
58362,상하이,2017-11-30 0:00,13.6,2.9,17.3,10.3
58362,상하이,2017-12-31 0:00,9.1,3.4,13.1,5.8
58362,상하이,2018-01-31 0:00,4.3,3.5,7.2,1.7
58362,상하이,2018-02-28 0:00,5.3,3.4,9.5,1.4
58362,상하이,2018-03-31 0:00,12.1,4.5,17.2,7.7
58362,상하이,2018-04-30 0:00,17.5,4.2,22.7,12.6
58362,상하이,2018-05-31 0:00,22.3,3.5,26.4,18.6
58362,상하이,2018-06-30 0:00,25.2,3,29.1,21.8
58362,상하이,2018-07-31 0:00,29.3,1.6,32.9,26.5
58362,상하이,2018-08-31 0:00,29.4,1.2,32.4,26.9
58362,상하이,2018-09-30 0:00,25.9,1.8,29.1,23.2
58362,상하이,2018-10-31 0:00,18.8,1.8,22.4,15
58362,상하이,2018-11-30 0:00,14.4,2.1,18.1,11
58362,상하이,2019-01-31 0:00,5.8,1.7,8.9,3.1
58362,상하이,2019-02-28 0:00,6.1,2.2,8.9,3.4
58362,상하이,2019-03-31 0:00,11.3,2.6,16,7.2
58362,상하이,2019-04-30 0:00,16.4,3.1,21,12.5
58362,상하이,2019-05-31 0:00,20.8,2.8,25.5,15.9
58362,상하이,2019-06-30 0:00,23.9,1.8,27.8,20.8
58362,상하이,2019-07-31 0:00,27.5,3.3,31.1,24.6
58362,상하이,2019-08-31 0:00,28.5,2,32.1,25.2
